account,destination,asset,amount,transaction_hash
GB4C6XKHXZLFBQKL7IVUJMPQZ4BVIJNYS4QCFWGAH2WFDORINDCFHR2U,GB4C6XKHXZLFBQKL7IVUJMPQZ4BVIJNYS4QCFWGAH2WFDORINDCFHR2U,EURC,6.2399131,6acef8dff0586870438cc0b4011d12c089e46cbd1f89a582a9dbd4f381da0dba
GBE4FY6RLT4KYM35MR47ZXATCG67ONZ7VKESEMHFPF2QF3VVHV2QM6L2,GBE4FY6RLT4KYM35MR47ZXATCG67ONZ7VKESEMHFPF2QF3VVHV2QM6L2,EURC,5.8102977,f7d0eeda7689778e16ef30edf991ddf26c90a7083b4da43676ea4c89f2878b38
GBXZELDK5A3PPDBBFDBIAO5I3GYLAEYJ427KWWSCXWGGRDOTVKHEXLTM,GBXZELDK5A3PPDBBFDBIAO5I3GYLAEYJ427KWWSCXWGGRDOTVKHEXLTM,EURC,4.2471825,78bb9acadfe395f7ee8f4b9f6fcc0d085f49ff9c8ae40dde43cb99d41148774d
GASAXWRQCKI5RRLBMFMUOV342DY4TKJM6DE6HZMLGOPKMZLKK43MMDXP,GASAXWRQCKI5RRLBMFMUOV342DY4TKJM6DE6HZMLGOPKMZLKK43MMDXP,EURC,2.5829435,172dbfa0d15ac0e2e4e75ff2176fc8f04f13b896e4b6cf13c9755d25bf92d057
GDUHSEICX6MRQWRQWW4QQX766FVWTUCOGTLZ5QAH6SL2IVX6NLEIHRKU,GDUHSEICX6MRQWRQWW4QQX766FVWTUCOGTLZ5QAH6SL2IVX6NLEIHRKU,EURC,2.3848902,7126db1c0aef7083cf4bd9ac22866de9c430734fe9353c759551d1470ee67662
GDX3CRTZCVVGIHTVGD2IEVRA55MT4D66TXQE5SMRVU744LMENXXN6OVL,GDX3CRTZCVVGIHTVGD2IEVRA55MT4D66TXQE5SMRVU744LMENXXN6OVL,EURC,2.3225688,0c461e8eda7a2e05b264901bcd96cd05bd367125cf2170addecb92a55e912235
GAD7ZGQ5FT7MWLEJHGKQ36HDQMRHCFJIBA5ICWYT2ERW2TCWG2MIZUUD,GAD7ZGQ5FT7MWLEJHGKQ36HDQMRHCFJIBA5ICWYT2ERW2TCWG2MIZUUD,EURC,1.9290928,d5c4a910d73fb28c7c44b6dbd27f91cc852106f8ee47f451b68558a7b80c0273
GC7WRELSV3MNZLHMNWVC4ADRTTVNEA46FARFQDU6QFJZLHRRV55HS6IV,GC7WRELSV3MNZLHMNWVC4ADRTTVNEA46FARFQDU6QFJZLHRRV55HS6IV,EURC,1.4797036,6629127f3e3f73462763e9b5cdecfacd90f59b93229a87a6225765db0e91846d
GALQD6OACZMX3HVVWGMKPCA6ITVFVTXDANSKU67KSGWOYWXCAWWCCLVW,GALQD6OACZMX3HVVWGMKPCA6ITVFVTXDANSKU67KSGWOYWXCAWWCCLVW,EURC,1.1485115,5ad4efcfb7874a303dad8cff4d2b5398d83eb1575a1a570804df65b9ac7c05e8
GAD2NZH7LOFMGEMXAMZBHKNQNJRMGUMZPA27HNETT66KVS7DZMH2C4PW,GAD2NZH7LOFMGEMXAMZBHKNQNJRMGUMZPA27HNETT66KVS7DZMH2C4PW,EURC,1.0054025,cd2d26e912a9e95ecd8d997906992503d1e3785a0c1e06441df5d63bacac16f9
GBQZJG4OCET7SV56I6IPBHGQAZBVRZBXP4BAS6ICCP56M32S23TQLKII,GBQZJG4OCET7SV56I6IPBHGQAZBVRZBXP4BAS6ICCP56M32S23TQLKII,EURC,0.8786839,0cec9e017d0c28a1222badeb7be378247e954862a908971c20edbbd8e4e6e8e7
GAYOOQCMIRUBCXRMHGD2GTRD5KKCPAR3436ZX6HS4SSFGMZ4FANNCSMF,GAYOOQCMIRUBCXRMHGD2GTRD5KKCPAR3436ZX6HS4SSFGMZ4FANNCSMF,EURC,0.8462749,89be7ef6e113ddee4e17154e93ecaa1e32a5093f7700a9e301ec5115a9994fcb
GCYTQXXGBMYSWF7VZIX4DA7TCRE5HNZGEXDJWBJK4QHR4WJZ7I66O46Y,GCYTQXXGBMYSWF7VZIX4DA7TCRE5HNZGEXDJWBJK4QHR4WJZ7I66O46Y,EURC,0.7654862,a6fef9a4991b108e471cc645b750b1d7a62afa7daaf60bb6d33213ea416cd078
GB7M5O3XGOY7O7W63PS6IUS6S6FSLYCBQGUQZ5IMOJWEMKI7EU3UUJQ7,GB7M5O3XGOY7O7W63PS6IUS6S6FSLYCBQGUQZ5IMOJWEMKI7EU3UUJQ7,EURC,0.7518470,4138915050fe4b0cdea35039f3d9cc2ebbe3c897572aa371e62ce8491145495e
GCRC3NYX4JZQTY3PSYGL2WBYI4JRKW24XS6RLSWBTGINLRWLNLHWUL7B,GCRC3NYX4JZQTY3PSYGL2WBYI4JRKW24XS6RLSWBTGINLRWLNLHWUL7B,EURC,0.3764474,d75ccc315a77dbdc930763c0a0bdf243181a7fbb2b4d62ca284ad55478068830
GDOWQ4ZMCXDB55WGAP76KWTPOWMVCLAJHT23OMYRA7DP3KRT5XR5U4V5,GDOWQ4ZMCXDB55WGAP76KWTPOWMVCLAJHT23OMYRA7DP3KRT5XR5U4V5,EURC,0.3132311,4c8497664faeaba6c787559cc378d7000872c199b97c48dd77c3b8bcdba5b1a4
GCUZMS67FDE7LEFFM5OP3TXEFXXBJQ7447WW3BUQIVMQHVTNEUXDXKHC,GCUZMS67FDE7LEFFM5OP3TXEFXXBJQ7447WW3BUQIVMQHVTNEUXDXKHC,EURC,0.2358238,a1131d82bb81835a8c6fea8c59ad304082e37df1400afe068e93a8ac0b578fc5
GCZBFC32VGVWW5EZUG4TUPRVIQ5WCQMOB4CRWBY5JLJRCN6DSO7KEDSL,GCZBFC32VGVWW5EZUG4TUPRVIQ5WCQMOB4CRWBY5JLJRCN6DSO7KEDSL,EURC,0.2082576,39527486caea52df9e7d8ac429c729bb5843fb4589c6e445d0dddf4cdbd26feb
GAVG3ODZ4SAVK2WJL3F3RT265RL7P6QNOMA6NL3XDAREKSX3OWWMXF4R,GAVG3ODZ4SAVK2WJL3F3RT265RL7P6QNOMA6NL3XDAREKSX3OWWMXF4R,EURC,0.1797046,95feded7f2d0119727b47bb0325348454e3367c210ecff17ae7fb652c4573db8
GANMIQKRY5IBWVW2LRSQENMM2QMYBZCA7JYDRKMLQFS5PRV34ZDWQBRO,GANMIQKRY5IBWVW2LRSQENMM2QMYBZCA7JYDRKMLQFS5PRV34ZDWQBRO,EURC,0.1623623,7263bb4e66b201c1d2821660aaf76e4c3b1f7d6cb7a8e29c5a81587a76c55b55
GDQVYP5XGSF7F7YSGFGBACGT4EEDN4TXOMYNQISS4GT66X3PJGJOW53Z,GDQVYP5XGSF7F7YSGFGBACGT4EEDN4TXOMYNQISS4GT66X3PJGJOW53Z,EURC,0.1535135,9dbf514b1c617caaf5cb621780ac65b66f8c6caa345f4ea57988b7ea18f5c13c
GCNECWN5VZLRDQLMRXMK6UPPWAYQVDGKRF6GEMUNJBB7OB4DD47LUFSO,GCNECWN5VZLRDQLMRXMK6UPPWAYQVDGKRF6GEMUNJBB7OB4DD47LUFSO,EURC,0.1104749,4ef97375a7f7438ee856a7e4343d39653b53182cf7ee67c4d9140617002dd054
GCN6YFU6BHTXX3FQJRLRQSQEKIILFK5LYIWOKBRL5T3ZAUXKSSQTEWG4,GCN6YFU6BHTXX3FQJRLRQSQEKIILFK5LYIWOKBRL5T3ZAUXKSSQTEWG4,EURC,0.0415140,4685884da9f5c6be29f6c89e73fd3827522299c53eaedb30c3f4a9e6084021aa
GCTDHRMLMYROIUJKVXZ2VOV6OC37UX6LUPX44CIBQQ2HX3FPHNL3SEK2,GCTDHRMLMYROIUJKVXZ2VOV6OC37UX6LUPX44CIBQQ2HX3FPHNL3SEK2,EURC,0.0371847,6ac720d3d787b0553e7c6360789e60c865f7ef0197047bbd76ffb5e88d308aec
